Severity,Name,Description,Link,Domain,Screenshot,Conditions,Suggestion,,,,,,,,,,,,,,,,,,
Medium,Features link in the navigation bar reloads the page instead of smoothly scrolling,"Clicking the Features option in the top navigation bar causes a full page reload instead of smoothly scrolling to the Features section on the homepage. Since the section is already present on the same page, reloading is unnecessary and disrupts user experience.",https://www.getbasalt.ai/#features,getbasalt,https://screenshots-basalt.s3.nl-ams.scw.cloud/one.png,"Desktop & Mobile, Chrome - Firefox - Edge - Safari","Implement smooth scrolling behavior using anchor links (#features) or JavaScript (e.g., scrollIntoView()) to navigate to the section without reloading the page.",,,,,,,,,,,,,,,,,,
Medium,Terms of Service link in the footer is not clickable,The Terms of Service link located in the footer is not functional. Clicking on it does not redirect the user to the expected Terms of Service page or section.,https://www.getbasalt.ai/,getbasalt,https://screenshots-basalt.s3.nl-ams.scw.cloud/two.png,"Desktop & Mobile, Chrome - Firefox - Edge - Safari",Ensure the Terms of Service link has a valid <a> tag with the correct href attribute. Verify that it is not being blocked by overlapping elements or incorrect CSS styling.,,,,,,,,,,,,,,,,,,
High,Prompt Library link in footer redirects to the wrong page,"The Prompt Library option in the Resources dropdown of the navigation bar correctly redirects to the Prompt Library page. However, the Prompt Library link in the footer incorrectly redirects users to the Handbook AI page instead.",https://www.getbasalt.ai/,getbasalt,https://screenshots-basalt.s3.nl-ams.scw.cloud/three.png,"Desktop & Mobile, Chrome - Firefox - Edge - Safari",Update the Prompt Library link in the footer to match the correct destination used in the navigation bar. Ensure all internal links are properly mapped to the intended pages.,,,,,,,,,,,,,,,,,,
Low,Upward and Downward icons on Handbook AI page are non-functional,"On the Handbook AI page, two icons (upward and downward arrows) are visible at the bottom right. However, clicking them does nothing. Additionally, since the page has limited content, scrolling is not needed, making these icons redundant.",https://hexacc.typeform.com/BasaltHandbook?utm_source=guide-ai&typeform-source=w ww.getbasalt.ai,getbasalt,https://screenshots-basalt.s3.nl-ams.scw.cloud/four.png,"Desktop, Chrome - Firefox - Edge","Remove the unnecessary icons if they have no functional purpose or ensure they perform a relevant action, such as navigating within the page or linking to other sections.",,,,,,,,,,,,,,,,,,
High,Prompt Grader page loads without main content,"After waiting for the Prompt Grader page to load, only the navigation bar and footer are visible, with no main content displayed. This makes the page non-functional.",https://www.getbasalt.ai/grade-my-prompt,getbasalt,https://screenshots-basalt.s3.nl-ams.scw.cloud/five.png,"Desktop, Chrome",Investigate the cause of missing content and ensure that all elements load correctly. Check for frontend rendering errors or API failures preventing content from appearing,,,,,,,,,,,,,,,,,,
Medium,"""Forgot Password?"" Option is Missing on the Login Page","The login page does not provide a ""Forgot Password?"" link, preventing users from recovering their accounts in case they forget their credentials.",https://app.getbasalt.ai/auth/login,getbasalt,https://screenshots-basalt.s3.nl-ams.scw.cloud/six.png,"Desktop & Mobile, Chrome - Firefox - Edge - Safari","Add a ""Forgot Password?"" link to the login page that directs users to the password recovery process.",,,,,,,,,,,,,,,,,,
Medium,Logout Function Redirects Users to Signup Page Instead of Login Page,"After logging out, users are redirected to the signup page instead of the login page. This can cause confusion, especially for returning users who simply want to log back in.",https://app.getbasalt.ai/auth/sign-up,getbasalt,https://screenshots-basalt.s3.nl-ams.scw.cloud/seven.png,"Desktop & Mobile, Chrome - Firefox - Edge - Safari",Update the logout flow to redirect users to the login page instead of the signup page.,,,,,,,,,,,,,,,,,,
Low,Lack of Spacing Between Privacy Policy and Terms of Service Links in Footer on Mobile,"On mobile devices, the Privacy Policy and Terms of Service links in the footer appear too close to each other, making them visually cluttered and difficult to distinguish.",https://www.getbasalt.ai/,getbasalt,https://screenshots-basalt.s3.nl-ams.scw.cloud/eight.png,"Mobile, Chrome - Firefox - Edge - Safari",Add appropriate spacing or a separator between the two links to improve readability and usability on mobile screens.,,,,,,,,,,,,,,,,,,
High,Incorrect Redirect to Staging Environment,The hyperlink beneath the quote redirects users to a staging environment instead of the live site.,https://www.predictiveindex.com/software/talent-strategy/,predictiveindex,https://screenshot-pi.s3.fr-par.scw.cloud/one.png,-,-,,,,,,,,,,,,,,,,,,
Medium, Play Button Stops Functioning After Double Click,"Initially, clicking the play button on the top banner works as expected. However, if the user double-clicks the button, then closes the video pop-up and attempts to click the play button again, it no longer functions. Instead, clicking next to the button unexpectedly triggers the video.",https://www.predictiveindex.com/learn/talent-optimization/series/talent-optimization-certification/,predictiveindex,https://screenshot-pi.s3.fr-par.scw.cloud/two.png,-,-,,,,,,,,,,,,,,,,,,
Medium,Broken Article Links in PI Education Search Results,"On the PI Education page, performing a search produces mixed results. While some article links work correctly, others lead to a 404 error or display a page showing only the header and footer, with no actual content. (i.e Introduction to renewal upsell and expansion)",https://www.predictiveindex.com/education/,predictiveindex,https://screenshot-pi.s3.fr-par.scw.cloud/three.png,-,-,,,,,,,,,,,,,,,,,,
High,Incorrect Redirect to Development Environment,"On the Product Plans page, clicking the View Customer Stories button redirects the user to a development environment.",https://www.predictiveindex.com/plans/,predictiveindex,https://screenshot-pi.s3.fr-par.scw.cloud/four.png,-,-,,,,,,,,,,,,,,,,,,
Low,Fixed header overlapping page content on mobile,"The header employs a fixed-top style and contains two navigation bars. On narrow screens like those of the iPhone 14 Pro, this header may overlap critical content (such as the hero section), making the top portion of the content partially obscured.",https://www.predictiveindex.com/pi-for-hr-leaders/,predictiveindex.com,https://screenshot-pi.s3.fr-par.scw.cloud/five.png,-,-,,,,,,,,,,,,,,,,,,
Medium,Oversized Hero Heading Text,"The hero section features an H1 heading (“Science-backed HR software”) in a fixed font size of 72px. On mobile displays, this text overwhelms the viewport causing awkward wraps, readability issues, and compromised visual balance.",https://www.predictiveindex.com/science/,predictiveindex.com,https://screenshot-pi.s3.fr-par.scw.cloud/six.png,-,-,,,,,,,,,,,,,,,,,,
Medium,Rigid Flex Item Basis in Column Layouts,"Sections with columns use fixed flex-basis values (e.g., flex-basis:50%, flex-basis:55%) alongside classes like mobile-column-reverse. On smaller screens, columns may not stack correctly, causing misalignment and disrupted reading flow.",https://www.predictiveindex.com/science/,predictiveindex.com,https://screenshot-pi.s3.fr-par.scw.cloud/seven.png,-,-,,,,,,,,,,,,,,,,,,
Low,Excessive vertical spacing in the hero section on mobile,"The hero section uses fixed-height spacers (e.g., 150px, 120px), creating excessive empty vertical space on mobile screens. This disrupts layout balance and requires excessive vertical scrolling.",https://www.predictiveindex.com/software/,predictiveindex.com,https://screenshot-pi.s3.fr-par.scw.cloud/eight.png,-,-,,,,,,,,,,,,,,,,,,
Low,Fixed header overlay potentially obscuring page content,"The header uses a fixed-top position. On mobile, it obscures top content unless properly offset or padded. This hampers readability and user interaction.",https://www.predictiveindex.com/software/,predictiveindex.com,https://screenshot-pi.s3.fr-par.scw.cloud/nine.png,-,-,,,,,,,,,,,,,,,,,,
Medium,Overly Large Hero Heading Font Size,"The main hero heading font size (50px) is too large, causing excessive text wrapping and potentially pushing other elements off-screen on mobile.",https://www.predictiveindex.com/software/,predictiveindex.com,https://screenshot-pi.s3.fr-par.scw.cloud/ten.png,-,-,,,,,,,,,,,,,,,,,,
Medium,Table Layout Horizontal Overflow,"Table in “Get Even More with PI Inspire” section causes horizontal overflow, forcing horizontal scrolling.",https://www.predictiveindex.com/software/managing/,predictiveindex.com,https://screenshot-pi.s3.fr-par.scw.cloud/eleven.png,-,-,,,,,,,,,,,,,,,,,,
Medium,Back button redirects inconsistently from Inspiration records,"When a user opens a record from the Inspiration section and clicks the Back button, the navigation behavior is inconsistent. In some cases, the user is correctly redirected back to the Inspiration page, while in other cases, they are redirected to the Gammas page.",https://gamma.app/#inspiration,gamma.app,https://screenshots-gamma.s3.fr-par.scw.cloud/eight.png,-,Ensure that the Back button consistently returns users to the Inspiration page after viewing a record. Check the routing logic and confirm that all records have the correct navigation behavior.,,,,,,,,,,,,,,,,,,
Medium,"Templates, Themes, and Custom Fonts missing on mobile","On desktop, the homepage navigation panel includes options for Templates, Themes, and Custom Fonts to allow customization. However, these options are completely missing on mobile, with no menu or alternative access.",https://gamma.app/,gamma.app,https://screenshots-gamma.s3.fr-par.scw.cloud/six.png,-,"Implement a mobile-accessible menu or navigation panel to allow users to access Templates, Themes, and Custom Fonts.",,,,,,,,,,,,,,,,,,
